uid,uof_uid,tracking_id_og,tracking_id,investigation_status,service_type,light_condition,weather_condition,shift_time,disposition,division,division_level,unit,originating_bureau,use_of_force_description,use_of_force_level,use_of_force_effective,age,years_of_service,officer_injured,agency,use_of_force_reason
57e865ad8c571bdd2656fe729e386076,2d4ec18e4de3094a1dac935b60064902,ftn2017-0280,d4d1fb52ca4732c7edf704b13149e478,Completed,call for service,good,clear conditions,between 7am-3pm,use of force authorized,day watch,7th district,,field operations bureau,hands,l1,yes,33,7,No,new-orleans-pd,resisted lawful arrest
eacc5a3c5c63939d5be002a0acb654cf,2d53a25caa2da4cc9867ce5fd25087f6,ftn2017-0254,0a1679960164b0aa4ff33afdcb43376f,Completed,call for service,poor,rainy conditions - medium,between 11pm-7am,use of force authorized,c platoon,4th district,patrol,field operations bureau,hands,l1,yes,57,30,No,new-orleans-pd,resisted lawful arrest
313af3292d2f04bfce82863537efaba0,2d5bf75067afbf7fb4a4ea819f272579,ftn2016-0518,daa9635eb3e72683728a33f0988c4625,Completed,call for service,good,clear conditions,,use of force authorized,day watch,7th district,,field operations bureau,firearm (exhibited),l1,yes,32,17,No,new-orleans-pd,resisted lawful arrest
d2e274d1558202921a87fac8424a4f92,2d5ea9abd92d2c2c0fe18aa2ce5b5314,ftn2020-0383,ef1e34679957c52087609ae6e5b4b1ee,Completed,pedestrian stop,poor,clear conditions,between 3pm-11pm,use of force justified,b platoon,2nd district,patrol,field operations bureau,firearm (exhibited),l1,yes,28,0,No,new-orleans-pd,weapon exhibited
fdf5c7b357d628f24889a4dfa2951c2a,2d5f6ad78feb9fb7e1e0ef06f1503a79,ftn2016-0585,10fc5ee6d9225d3f8fafbbe51107ddf3,Completed,call for service,good,clear conditions,between 7am-3pm,use of force authorized,day watch,7th district,,field operations bureau,hands,l1,yes,43,19,No,new-orleans-pd,resisted lawful arrest
ed66f3d488fe179aa4818ef190ddf3a8,2d8133265c84c0ad59a0dc6da83b7698,ftn2021-0271,46dd537f2a381578572f5cba7fa9fce1,Completed,call for service,poor,rainy conditions - medium,between 11pm-7am,use of force justified,c platoon,2nd district,patrol,field operations bureau,firearm (exhibited),l1,yes,24,2,No,new-orleans-pd,refused verbal commands
a27837a6c30cc0a5980ed88c8232b6b8,2d9576275073e5aadefb2b796e736e88,ftn2020-0262,9903f98a2da0a67ae005f4210f3a9cd7,Completed,call for service,good,clear conditions,between 7am-3pm,use of force justified,a platoon,7th district,patrol,field operations bureau,hands,l1,yes,27,4,No,new-orleans-pd,refused verbal commands
2ae774061539b97a3a596b8524c5be89,2d9c4ceaa196f38dbf011ad219c68622,ftn2016-0007,dfc9a46502738a94db3e0343db6a799a,Completed,call for service,poor,clear conditions,,use of force authorized,2nd platoon,4th district,patrol,field operations bureau,firearm (exhibited),l1,yes,37,21,No,new-orleans-pd,refused verbal commands
0b4ed6c47c09fe423334d6162b7e8206,2da0847d3be7b162472da4633d655f28,ftn2020-0302,660a8d99bf18a6233ab213643bd408fe,Completed,pedestrian stop,good,clear conditions,between 11pm-7am,use of force justified,c platoon,1st district,patrol,field operations bureau,takedown (no injury),l1,yes,34,0,No,new-orleans-pd,flight from an officer
8080abc2fada1932e54a668b6c3b58da,2dd5811b14eb464c7dd6be13282ac111,ftn2016-0640,50a9383bffe2fd0fd729665ae8a87bf0,Completed,other,good,clear conditions,,use of force authorized,2nd platoon,1st district,,field operations bureau,other,l1,no,29,7,Yes,new-orleans-pd,escape
